"id","strain","taxonomy_id","taxonomy_name","location_id","submitter","location","district"
"5","Paenibacillus sp.","6","Paenibacillus sp.","1",NULL,"Kapati Tea Estate, Kharupetia","Darrang"
"7","Bacillus sp.","5","Bacillus sp.","1",NULL,"Kapati Tea Estate, Kharupetia","Darrang"
"24","Streptomyces sp. NNPR11","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"25","Streptomyces sp. NNPR9","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"26","Streptomyces sp. NNPR15","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"27","Streptomyces sp. NNPR39","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"28","Streptomyces sp. NNPR64","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"29","Streptomyces sp. NNPR55","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"30","Streptomyces sp. NNPR61","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"31","Streptomyces sp. NNPR76","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"32","Streptomyces sp. NNPR36","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"33","Streptomyces sp. NNPR28","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"34","Streptomyces sp. NNPR52","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"35","Streptomyces sp. NNPR38","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"36","Streptomyces sp. NNPR69","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"37","Streptomyces sp. NNPR62","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"38","Streptomyces sp. PWS6","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"39","Streptomyces sp. PWS22","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"40","Streptomyces sp. PWS12","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"41","Streptomyces sp. PWS11","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"42","Streptomyces sp. PWS34","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"43","Streptomyces sp. PWS49","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"44","Streptomyces sp. PWS64","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"45","Streptomyces sp. PWS52","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"46","Streptomyces sp. NNPR61","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"47","Streptomyces sp. PWS22","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"48","Streptomyces sp. PWS12","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"49","Streptomyces sp. NNPR64","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"50","Streptomyces sp.","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"51","Streptomyces sp. PWS11","7","Streptomyces sp.","3","ranjita-das","Nameri National Park","Tezpur"
"52","Streptosporangium sp. PWS41","8","Streptosporangium sp.","3","ranjita-das","Nameri National Park","Tezpur"
"53","Nocardia sp. PWS38","9","Nocardia sp.","3","ranjita-das","Nameri National Park","Tezpur"
"54","Pseudomonas aeruginosa","18","Pseudomonas sp.","11","jintu-dutta","Khetri Tea Estate","Kamrup (M)"
"55","[Enterobacter] lignolyticus","16","Enterobacter sp.","13","jintu-dutta","Tocklai Tea Growing Area","Jorhat"
"56","Bacillus pseudomycoides","5","Bacillus sp.","12","jintu-dutta","Sonapur Tea Estate","Kamrup (M)"
"57","Burkholderia sp. JD-TRS-9","19","Burkholderia sp.","14","jintu-dutta","Teok Tata Tea Estate","Jorhat"
"58","Staphylococcus sp.","10","Staphylococcus sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
"59","Serratia sp.","11","Serratia sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
"60","Brevibacillus sp.","12","Brevibacillus sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
"61","Serratia sp.","11","Serratia sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
"62","Yokenella sp.","13","Yokenella sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
"63","Klebsiella sp.","14","Klebsiella sp.","9","jintu-dutta","North-Tukvar Tea Estate","Golaghat"
