"time","sample","starch_release","intercept","rate","auc","hi","egi_goni","egi_grandfield"
180,"bread",77.01,0.352884070309891,0.0510958151035918,12354.7842620844,100,94.61,94.398
150,"s1",59.03,-0.104742367648235,0.07147989798129,9799.57554913259,79.3180628755011,83.2556165186501,76.570170198682
150,"s10",59.93,-0.0316474109061613,0.0630079373616614,9836.26128490761,79.6149983378839,83.4186340874983,76.8261285672559
180,"s2",67.72,0.035678847131249,0.0591944529022009,11045.6008638242,89.4034297120196,88.7924829118988,85.2637564117609
180,"s3",72.15,0.698573034286545,0.0421184208324634,11274.84626729,91.2589489878135,89.8111629943096,86.8632140274952
180,"s4",71.84,0.279398220735331,0.0617008817007921,11766.8905279766,95.2415702157427,91.9976220484427,90.2962335259702
180,"s5",47.74,0.191840149869379,0.0577743544031794,7766.9069717026,62.865581518396,74.2232042535994,62.3881312688574
150,"s6",62.03,0.023623228761801,0.0671118287582685,10241.1270458879,82.8919941347491,85.2177047799773,79.6508989441537
180,"s7",49.02,-0.134143783311,0.0555008354762024,7940.41054805399,64.2699247482803,74.9941886868059,63.5986751330176
150,"s8",54.27,-0.110856077088602,0.0707408688939918,9001.43611445395,72.8578979891902,79.7089859960654,71.001508066682
180,"s9",45.09,-0.0443015628569733,0.0513844918338539,7238.78229506176,58.5909243051446,71.8764174435244,58.7033767510346
