time,sample,starch_release
0,bread,0
30,bread,67.12
60,bread,72.52
90,bread,74.31
120,bread,75.81
150,bread,77.01
180,bread,77.91
0,s1,0
30,s1,51.36
60,s1,58.03
90,s1,58.9
120,s1,59.02
150,s1,59.03
180,s1,59.03
0,s2,0
30,s2,56.53
60,s2,65.87
90,s2,67.42
120,s2,67.67
150,s2,67.71
180,s2,67.72
0,s3,0
30,s3,61.75
60,s3,70.54
90,s3,71.79
120,s3,71.97
150,s3,71.99
180,s3,72.15
0,s4,0
30,s4,62.77
60,s4,70.69
90,s4,71.69
120,s4,71.82
150,s4,71.83
180,s4,71.84
0,s5,0
30,s5,40.52
60,s5,46.65
90,s5,47.57
120,s5,47.71
150,s5,47.73
180,s5,47.74
0,s6,0
30,s6,53.96
60,s6,60.98
90,s6,61.89
120,s6,62.01
150,s6,62.03
180,s6,62.03
0,s7,0
30,s7,38.72
60,s7,46.86
90,s7,48.57
120,s7,48.93
150,s7,49.01
180,s7,49.02
0,s8,0
30,s8,47
60,s8,53.3
90,s8,54.14
120,s8,54.26
150,s8,54.27
180,s8,54.27
0,s9,0
30,s9,35.04
60,s9,42.85
90,s9,44.6
120,s9,44.99
150,s9,45.07
180,s9,45.09
0,s10,0
30,s10,50.6
60,s10,58.48
90,s10,59.7
120,s10,59.9
150,s10,59.93
180,s10,59.93
