peak,retention_time,wavelength,area,concentration
2,2.88,255nm,180667,0.005
13,14.82,255nm,182860,0.005
10,9.96,255nm,185226,0.005
1,2.7,255nm,194110,0.005
14,16.007,255nm,281963,0.005
3,3.66,255nm,325126,0.005
5,6.067,255nm,337242,0.005
6,6.487,255nm,400271,0.005
9,9.273,255nm,402824,0.005
4,5.56,255nm,620479,0.005
11,10.8,255nm,757603,0.005
8,8.18,255nm,965530,0.005
7,7.387,255nm,1048353,0.005
1,2.72,255nm,32108,0.01
4,5.587,255nm,32726,0.01
5,6.08,255nm,163360,0.01
2,2.84,255nm,183782,0.01
10,9.973,255nm,187517,0.01
3,3.68,255nm,230921,0.01
6,6.507,255nm,334926,0.01
13,14.827,255nm,364113,0.01
9,9.287,255nm,424511,0.01
14,16.02,255nm,614109,0.01
11,10.813,255nm,1271022,0.01
8,8.193,255nm,1433927,0.01
7,7.407,255nm,1505254,0.01
1,2.713,255nm,17121,0.02
4,5.58,255nm,52664,0.02
5,6.073,255nm,313713,0.02
10,9.953,255nm,368034,0.02
2,2.833,255nm,379629,0.02
3,3.673,255nm,442917,0.02
6,6.5,255nm,644555,0.02
13,14.82,255nm,722682,0.02
9,9.273,255nm,838230,0.02
14,16.013,255nm,1080562,0.02
11,10.8,255nm,2493514,0.02
8,8.18,255nm,2817682,0.02
7,7.393,255nm,2936673,0.02
1,2.72,255nm,20068,0.04
4,5.593,255nm,138268,0.04
5,6.093,255nm,667368,0.04
10,9.973,255nm,751956,0.04
2,2.833,255nm,894704,0.04
3,3.687,255nm,916741,0.04
6,6.507,255nm,1345059,0.04
13,14.833,255nm,1489310,0.04
9,9.287,255nm,1714307,0.04
14,16.02,255nm,2171788,0.04
11,10.82,255nm,5041910,0.04
8,8.193,255nm,5713892,0.04
7,7.407,255nm,5959824,0.04
1,2.713,255nm,22343,0.06
4,5.587,255nm,208883,0.06
5,6.087,255nm,1006837,0.06
10,9.967,255nm,1136475,0.06
2,2.833,255nm,1367543,0.06
3,3.68,255nm,1384358,0.06
6,6.507,255nm,2022225,0.06
13,14.82,255nm,2255857,0.06
9,9.28,255nm,2592397,0.06
14,16.013,255nm,3245580,0.06
11,10.813,255nm,7612656,0.06
8,8.187,255nm,8629277,0.06
7,7.407,255nm,8999794,0.06
4,5.593,255nm,276968,0.08
